Month,Year,tmp,rainfall
February,1990,22.3,159.1
January,1990,22.1,381.6
July,1990,17.2,0
June,1990,18.4,0
March,1990,22.9,39.5
May,1990,19.3,0.2
November,1990,26.1,62.3
October,1990,25.6,12.6
September,1990,21.6,0.8
April,1991,20.7,24
August,1991,19,0
December,1991,22.6,105.9
February,1991,23.2,155.3
January,1991,22.8,252.9
July,1991,16.3,0
June,1991,17.3,0
March,1991,22.8,85.1
May,1991,19.2,0.2
November,1991,24,99.6
October,1991,24.7,27.1
September,1991,23.2,0
April,1992,22.7,15.1
August,1992,18.5,0
December,1992,23.6,262.4
February,1992,24,59.8
January,1992,23.8,97.7
July,1992,16.9,0
June,1992,18,0
March,1992,24,105.5
May,1992,20.2,2.8
November,1992,24.6,95.4
October,1992,25.7,5.5
September,1992,23,0
April,1993,22.1,15.5
August,1993,18.5,0
December,1993,23.7,103.4
February,1993,22.4,215.9
January,1993,22.5,158.2
July,1993,17,0
June,1993,17.3,0
March,1993,22.4,78.9
May,1993,20.3,0
November,1993,24.2,96.1
October,1993,26.1,2.3
September,1993,22.3,1.1
April,1994,21.4,12
August,1994,19,0
December,1994,24,129.3
February,1994,22.7,154
January,1994,22.6,218.7
July,1994,16.7,0
June,1994,17.2,0
March,1994,23.8,8.2
May,1994,19.6,0
November,1994,26,62.8
October,1994,24.3,24.5
September,1994,23.1,0.4
April,1995,22.3,2.6
August,1995,20.7,0
December,1995,23.3,92.7
February,1995,23.3,152.1
January,1995,23.7,124.4
July,1995,17.3,0
June,1995,16.5,0
March,1995,23.8,46.6
May,1995,19.9,0
November,1995,26,70
October,1995,26.9,26.2
September,1995,23.2,0
April,1996,20.9,3.4
August,1996,20.2,0
December,1996,23.9,240.3
February,1996,22.8,187.5
January,1996,23,218.6
July,1996,16.3,0
June,1996,16.9,0
March,1996,22.3,83.5
May,1996,19,14.4
November,1996,25.9,103.9
October,1996,26.3,0.1
September,1996,23.8,0
April,1997,21.3,103.1
August,1997,19.9,0
December,1997,24.1,117.9
February,1997,22.5,206.9
January,1997,23,327.6
July,1997,16.9,0
June,1997,18.9,0
March,1997,23.4,77.1
May,1997,18.5,0.7
November,1997,25.5,107
October,1997,24.6,8
September,1997,23.1,3
April,1998,22.4,0
August,1998,19.6,0
December,1998,22.5,251.2
February,1998,23.8,92.6
January,1998,23.4,252.7
July,1998,17.7,0
June,1998,18.1,0
March,1998,24.3,58
May,1998,20.1,0
November,1998,25.6,93.5
October,1998,25.8,1
September,1998,22.5,0
April,1999,21.2,1.8
August,1999,19.1,0
December,1999,24.4,134.6
February,1999,23,159.7
January,1999,22.4,209.9
July,1999,16.8,0
June,1999,18,0
March,1999,22.8,98.4
May,1999,19.6,0
November,1999,25,56.8
October,1999,24.5,9.9
September,1999,21.2,0.6
April,2000,21,36.8
August,2000,18.4,0
December,2000,23.3,198.7
February,2000,23.1,205.4
January,2000,23,220.3
July,2000,16.8,0
June,2000,17.8,0
March,2000,23,160.8
May,2000,18.9,8
November,2000,23.8,122.4
October,2000,25.4,10.2
September,2000,23.3,0
April,2001,22.2,47.2
August,2001,20.3,0
December,2001,23.8,201.7
February,2001,22.7,290.3
January,2001,23.1,243
July,2001,16.3,0
June,2001,17.2,0
March,2001,23,161
May,2001,20.2,1.5
November,2001,24.9,117.3
October,2001,25.4,15.4
September,2001,23.4,2.6
April,2002,22.3,85.6
August,2002,20.2,0
December,2002,24,205.9
February,2002,22.9,60.5
January,2002,23.3,128.5
July,2002,18.3,0
June,2002,17.5,0
March,2002,23.3,35
May,2002,19.7,0
November,2002,25.2,89.9
October,2002,25.6,26.9
September,2002,23,1.4
April,2003,21.4,25.2
August,2003,19.7,0
December,2003,24.1,143.6
February,2003,23.9,245.4
January,2003,23.8,217.6
July,2003,16.3,0
June,2003,17.8,0
March,2003,23.4,140.9
May,2003,19.4,2
November,2003,25.8,77.7
October,2003,25.9,28.5
September,2003,23.1,0
April,2004,21.8,25.2
August,2004,20.3,0
December,2004,24.1,224.4
February,2004,23.2,186.5
January,2004,23.4,256.1
July,2004,16.5,0
June,2004,16.8,0
March,2004,23.5,142
May,2004,18.3,0.8
November,2004,25.7,69.9
October,2004,25.6,15
September,2004,22.8,0.1
April,2005,22.6,8.5
August,2005,20.6,0
December,2005,23.7,251.4
February,2005,24.1,76.8
January,2005,23.7,205.9
July,2005,17.6,0
June,2005,19.3,0
March,2005,24.5,37.4
May,2005,20.2,0.1
November,2005,26.7,116.5
October,2005,26.6,0.2
September,2005,22.9,0
April,2006,22,16.6
August,2006,19.5,0
December,2006,24.3,220.2
February,2006,23.1,202.7
January,2006,23,204.3
July,2006,17,0
June,2006,17.4,0
March,2006,23,127.9
May,2006,19,3.7
November,2006,25,93.7
October,2006,26,19.8
September,2006,22,0.3
April,2007,22,19.3
August,2007,19.4,0
December,2007,23.1,329.1
February,2007,23.4,95.8
January,2007,22.4,291.9
July,2007,16.7,0
June,2007,17.9,0
March,2007,23.7,62.2
May,2007,19,0.8
November,2007,25.3,174.8
October,2007,25.6,6.8
September,2007,23.7,2
April,2008,20.7,15
August,2008,19.5,0
December,2008,23.5,115.4
February,2008,22.7,72.1
January,2008,22.6,344.9
July,2008,17.1,0
June,2008,17,0
March,2008,22.4,84.7
May,2008,19.5,2.9
November,2008,25,102
October,2008,26.1,5
September,2008,23.2,0.6
April,2009,20.4,1.6
August,2009,20.5,0
December,2009,24.4,168.8
February,2009,23.6,102.8
January,2009,23.6,224.5
July,2009,16.1,0
June,2009,18.5,0
March,2009,22.5,159.8
May,2009,19.3,10.3
November,2009,24.5,161.5
October,2009,25.7,17.7
September,2009,23.7,0.3
April,2010,22.4,39.8
August,2010,18.6,0
December,2010,23.2,214.4
February,2010,23.8,287.9
January,2010,24.1,224.1
July,2010,17.2,0
June,2010,17.4,0
March,2010,23.8,144.2
May,2010,20.8,3
November,2010,25.7,135.9
October,2010,27,2.8
September,2010,23.2,0.3
April,2011,21.4,9.8
August,2011,18.4,0
December,2011,23.5,193.2
February,2011,22.3,43.8
January,2011,22.1,197.8
July,2011,16.6,0
June,2011,18.1,0
March,2011,23,98.7
May,2011,19.2,0.1
November,2011,24.7,137.4
October,2011,25.4,9.7
September,2011,23,0
April,2012,20.7,16.1
August,2012,19.4,0
December,2012,23.2,214.3
February,2012,23.5,274.3
January,2012,22.5,366.7
July,2012,16.7,0
June,2012,17.4,0
March,2012,23.1,238.6
May,2012,19.2,0.2
November,2012,24.9,87.4
October,2012,25.6,15
September,2012,22.8,1
April,2013,20.9,28.9
August,2013,19.7,0
December,2013,23.1,213.9
February,2013,22.6,179.1
January,2013,22.5,228
